name,brand,model,memory,memory_interface,length,interface,chipset,base_clock,clock_speed,frame_sync,price,item_url,used
MSI GAMING GeForce RTX 2080 Ti GDRR6 352-bit HDMI/DP/USB Ray Tracing Turing Architecture Graphics Card,MSI, GeForce RTX 2080 Ti GAMING X TRIO , 11 GB , GDDR6 , 327 mm , PCIe x16 , GeForce RTX 2080 Ti , 1350 MHz , 1755 MHz , G-Sync ,$749.99 ,https://pcbuilder.net/component-details/graphics-card/msi-geforce-rtx-2080-ti-gaming-x-trio-912-v371-010/,1
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card (RTX 3090 GAMING X TRIO 24G),MSI, RTX 3090 GAMING X TRIO 24G , 24 GB , GDRR6X , 335 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1785 MHz , G-Sync ,"$1,289.99 ",https://pcbuilder.net/component-details/graphics-card/msi-rtx-3090-gaming-x-trio-24g-3090gamingxtrio24g/,0
MSI GAMING GeForce GTX 1060 6GB GDRR5 192-bit HDCP Support DirectX 12 Dual TORX 2.0 Fan VR Ready Graphics Card ,MSI,  GeForce GTX 1060 6GB , 6 GB , GDDR5 , 277 mm , PCIe x16 , GeForce GTX 1060 , 1506 MHz , 1809 MHz , G-Sync ,$219 ,https://pcbuilder.net/component-details/graphics-card/msi-geforce-gtx-1060-6gb-geforce-gtx-1060-gaming-x-6g/,1
ZOTAC Gaming GeForce GTX 1660 Ti AMP 6GB GDDR6 192-bit Graphics Card Super Compact IceStorm 2.0 Cooling,ZOTAC, ZT-T16610D-10M , 6 GB , GDDR6 , , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1860 MHz , G-Sync ,$988.86 ,https://pcbuilder.net/component-details/graphics-card/zotac-zt-t16610d-10m/,1
MSI GTX 1050 TI 4GT LP Graphic Cards,MSI, GTX 1050 TI 4GT LP , 4 GB , GDDR5 , 182 mm , PCIe x16 , GeForce GTX 1050 Ti , 1290 MHz , 1392 MHz , G-Sync ,$234.84 ,https://pcbuilder.net/component-details/graphics-card/msi-gtx-1050-ti-4gt-lp/,0
MSI GEFORCE GTX1080 TI GAMING X 11G,MSI, GeForce GTX 1080 Ti , 11 GB , GDDR5 , 290 mm , PCIe x16 , GeForce GTX 1080 Ti , 1569 MHz , 1683 MHz , G-Sync ,$419.99 ,https://pcbuilder.net/component-details/graphics-card/msi-geforce-gtx-1080-ti-gtx-1080-ti-gaming-x/,1
"Gigabyte GeForce RTX 2070 Super Gaming OC 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6, Video Card",Gigabyte, GeForce RTX 2070 Super , 8 GB , GDDR6 , 286.5 mm , PCIe x16 , GeForce RTX 2070 SUPER , 1605 MHz , 1815 MHz , G-Sync ,$529.99 ,https://pcbuilder.net/component-details/graphics-card/gigabyte-geforce-rtx-2070-super-gv-n207sgaming-oc8gd/,1
